epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1321,1.727,5.05676,1.42189,0,0,0,0,1.1132,4.19796,0.9124,0.0002,0.0002,0.0002
2,50.9868,1.28619,3.53411,1.07834,0.00313,0.25,0.2483,0.19864,1.03542,3.93341,0.85424,0.000409097,0.000409097,0.000409097
3,74.8209,1.23571,2.46712,1.03831,0,0,0,0,1.06459,4.22921,0.94956,0.000614687,0.000614687,0.000614687
4,98.4793,1.17405,2.28749,1.05312,0,0,0,0,1.20283,4.17918,0.97213,0.000816772,0.000816772,0.000816772
5,122.107,1.09924,2.37901,0.9916,0.00245,0.25,0.24813,0.17369,1.08095,3.66929,0.88814,0.00101535,0.00101535,0.00101535
6,145.777,1.17071,1.87324,1.05037,0.78579,0.25,0.49981,0.34876,1.02181,2.91057,0.87441,0.00119844,0.00119844,0.00119844
7,169.391,1.10914,1.70026,1.03254,1,0.7211,0.995,0.69572,1.03289,2.25257,0.90073,0.00118812,0.00118812,0.00118812
8,193.098,1.10291,1.61674,1.03651,1,0.92936,0.995,0.65324,1.20135,1.69267,0.95374,0.00117781,0.00117781,0.00117781
9,216.699,1.07461,1.53425,1.03566,0.79829,0.71901,0.8075,0.53378,1.16909,1.91961,1.0017,0.0011675,0.0011675,0.0011675
10,240.309,1.03387,1.43452,0.9992,0.87616,0.5,0.65056,0.48416,1.34406,1.96428,1.06856,0.00115719,0.00115719,0.00115719
11,264.013,1.06508,1.39768,1.00201,0.82601,0.5,0.71722,0.45949,1.09749,1.61663,0.94446,0.00114688,0.00114688,0.00114688
12,287.712,1.04427,1.36244,0.98096,0.92101,0.5,0.62217,0.4355,1.31505,2.04104,0.96117,0.00113656,0.00113656,0.00113656
